id,title,year,release_month,genres,duration,country,language,directors,writers,actors,production_company,imdb_score,votes,budget,world_wide_boxoffice,metascore,profit,profit_margin
825232,The Bucket List,2007,1,"['Comedy', 'Drama']",97,Usa,English,['Rob Reiner'],['Justin Zackham'],"['Jack Nicholson', 'Morgan Freeman', 'Sean Hayes', 'Beverly Todd', 'Rob Morrow']",Warner Bros.,7.4,226825,45000000,175372502,42,130372502,2.9
825236,Sukkar banat,2007,12,"['Comedy', 'Drama', 'Romance']",95,France,Arabic,['Nadine Labaki'],"['Nadine Labaki', 'Jihad Hojeily']","['Nadine Labaki', 'Yasmine Al Massri', 'Joanna Moukarzel', 'Gisèle Aouad', 'Adel Karam']",Les Films Des Tournelles,7.1,12457,,14248749,70,,
825241,Daratt,2006,5,['Drama'],96,Chad,Arabic,['Mahamat-Saleh Haroun'],['Mahamat-Saleh Haroun'],"['Ali Barkai', 'Youssouf Djaoro', 'Aziza Hisseine', 'Khayar Oumar Defallah', 'Djibril Ibrahim']",Chinguitty Films,6.9,759,,48251,78,,
825248,L'ennemi intime,2007,10,"['Drama', 'History', 'War']",111,France,French,['Florent-Emilio Siri'],"['Patrick Rotman', 'Florent-Emilio Siri']","['Benoît Magimel', 'Albert Dupontel', 'Aurélien Recoing', 'Marc Barbé', 'Eric Savin']",Les Films Du Kiosque,6.9,3168,,3908035,61,,
825339,The Trouble with Romance,2007,3,"['Comedy', 'Drama', 'Romance']",88,Usa,English,['Gene Rhee'],"['Gene Rhee', 'Sharri Hefner']","['Jordan Belfi', 'John Churchill', 'Josie Davis', 'Portia Dawson', 'David Eigenberg']",Girls' Club Entertainment,4.4,185,150000,,11,,
826547,Great World of Sound,2007,3,"['Comedy', 'Drama', 'Music']",106,Usa,English,['Craig Zobel'],"['George Smith', 'Craig Zobel']","['Pat Healy', 'Kene Holiday', 'John Baker', 'Robert Longstreet', 'Tyler Baum']",Gws Media,6.7,1099,,22011,72,,
826551,Hacia la oscuridad,2007,6,"['Crime', 'Drama', 'Thriller']",94,Usa,Spanish,['Antonio Negret'],['Antonio Negret'],"['Roberto Urbina', 'America Ferrera', 'David Sutcliffe', 'Tony Plana', 'William Atherton']",Towards Darkness,5.6,434,,,52,,
826711,Le voyage du ballon rouge,2007,1,"['Drama', 'Family']",115,France,French,['Hsiao-Hsien Hou'],"['Hsiao-Hsien Hou', 'François Margolin']","['Juliette Binoche', 'Hippolyte Girardot', 'Simon Iteanu', 'Fang Song', 'Louise Margolin']",Margo Films,6.6,3813,,1475937,86,,
827498,Blood Tea and Red String,2006,10,"['Animation', 'Fantasy']",71,Usa,,['Christiane Cegavske'],['Christiane Cegavske'],[],,7.1,1092,,,73,,
827517,Reprise,2006,9,['Drama'],105,Norway,Norwegian,['Joachim Trier'],"['Joachim Trier', 'Eskil Vogt']","['Anders Danielsen Lie', 'Espen Klouman Høiner', 'Viktoria Winge', 'Odd-Magnus Williamson', 'Pål Stokka']",4 1/2 Film,7.4,9263,,1297260,79,,
828158,The Take,2007,9,"['Action', 'Crime', 'Drama']",96,Usa,English,['Brad Furman'],"['Jonas Pate', 'Josh Pate']","['John Leguizamo', 'Tyrese Gibson', 'Rosie Perez', 'Bobby Cannavale', 'Matthew Hatchette']",Hatchet Films,5.8,2159,800000,,67,,
828393,Garden Party,2008,5,['Drama'],88,Usa,English,['Jason Freeland'],['Jason Freeland'],"['Tierra Abbott', 'Christopher Allport', 'Lisa Arturo', 'Erik Bragg', 'Alexander Cendese']",Lookout Films,5.5,3298,,21886,31,,
829150,Dracula Untold,2014,10,"['Action', 'Drama', 'Fantasy']",92,Usa,English,['Gary Shore'],"['Matt Sazama', 'Burk Sharpless']","['Luke Evans', 'Sarah Gadon', 'Dominic Cooper', 'Art Parkinson', 'Charles Dance']",Universal Pictures,6.3,174045,70000000,217124280,40,147124280,2.1
829193,Honeydripper,2007,5,"['Crime', 'Drama', 'History']",124,Usa,English,['John Sayles'],['John Sayles'],"['Danny Glover', 'Lisagay Hamilton', 'Yaya Dacosta', 'Charles S. Dutton', 'Vondie Curtis-Hall']",Anarchist'S Convention Films,6.6,1889,5000000,544925,68,-4455075,-0.89
829459,A Mighty Heart,2007,11,"['Biography', 'Drama', 'History']",108,Usa,English,['Michael Winterbottom'],"['John Orloff', 'Mariane Pearl']","['Dan Futterman', 'Angelina Jolie', 'Archie Panjabi', 'Mohammed Afzal', 'Mushtaq Khan']",Paramount Vantage,6.6,26637,16000000,19008745,74,3008745,0.19
829482,Superbad,2007,9,['Comedy'],113,Usa,English,['Greg Mottola'],"['Seth Rogen', 'Evan Goldberg']","['Jonah Hill', 'Michael Cera', 'Christopher Mintz-Plasse', 'Bill Hader', 'Seth Rogen']",Columbia Pictures,7.6,511454,20000000,170812526,76,150812526,7.54
830515,Quantum of Solace,2008,11,"['Action', 'Adventure', 'Thriller']",106,Uk,English,['Marc Forster'],"['Paul Haggis', 'Neal Purvis']","['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric', 'Judi Dench', 'Giancarlo Giannini']",Metro-Goldwyn-Mayer (Mgm),6.6,397640,200000000,589580482,58,389580482,1.95
